"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","lambda","beta"
"115",1,7,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"116",1,8,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"117",1,9,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"118",1,10,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"119",1,11,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"120",1,1,18,23.5983879036135,-0.15,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.00673800865892922,0.466609198889129,0.645684010836327
"121",1,2,8,58.0893459326138,-0.14,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.00673800865892922,0.466609198889129,0.645684010836327
"122",1,3,23,2.80778778228416,-0.03,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.00673800865892922,0.466609198889129,0.645684010836327
"123",1,4,15,49.6983998066756,0.08,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.00673800865892922,0.466609198889129,0.645684010836327
"124",1,5,26,88.5823934971989,0.46,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.00673800865892922,0.466609198889129,0.645684010836327
"125",1,6,26,88.5823934971989,0.46,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.00673800865892922,0.466609198889129,0.645684010836327
"126",1,1,2,35.0740459601823,-0.1,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"127",1,2,8,36.5761395509316,0.13,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"128",1,3,20,17.176883491303,0.13,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"129",1,4,23,6.01908059615108,0.16,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"130",1,5,25,21.4982277320863,0.2,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"131",1,6,21,1.96154452105445,0.2,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"132",1,7,11,67.1471361237324,0.26,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"133",1,8,7,31.6722608584524,0.26,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"134",1,9,0,70.779071936556,0.26,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"135",1,10,17,74.8685002895396,0.26,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"136",1,11,10,50.8885557508293,0.26,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.0240873982038982,0.626811423486819,0.516082522233429
"137",2,1,16,33.7846107943466,0.41,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
"138",2,2,7,63.4919768891561,0.41,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
"139",2,3,2,69.7039724336972,0.49,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
"140",2,4,11,34.2882646660962,0.49,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
"141",2,5,2,69.7039724336972,0.49,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
"142",2,6,2,69.7039724336972,0.49,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
"143",2,7,2,69.7039724336972,0.49,"Rough","Avg. Reward Condition",10,"1",1.04,"0:03:54","0:00:42",11,17,"Long",0.0102889745055948,0.496499240804808,0.51777587194002
