"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","kError","lambda","beta"
"79",1,5,26,26.6949773333354,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"80",1,6,10,29.9034234120828,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"81",1,7,21,48.8118897256085,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"82",1,8,5,6.87288566903859,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"83",1,9,18,9.42191164806843,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"84",1,10,11,8.9399218568945,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"85",1,11,27,36.8447935016293,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"86",1,1,7,81.1285868742209,-0.35,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.155964643090927,0.912134533398091,NA,0.255457125328837
"87",1,2,1,92.4318057989499,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.155964643090927,0.912134533398091,NA,0.255457125328837
"88",1,3,27,48.7831715759752,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.155964643090927,0.912134533398091,NA,0.255457125328837
"89",1,4,5,37.0004027414053,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.155964643090927,0.912134533398091,NA,0.255457125328837
"90",1,5,8,8.76174696586935,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.155964643090927,0.912134533398091,NA,0.255457125328837
"91",1,6,9,0,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.155964643090927,0.912134533398091,NA,0.255457125328837
"92",1,1,7,44.4761676461663,-0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"93",1,2,5,13.8022747740817,-0.01,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"94",1,3,16,42.4416962131008,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"95",1,4,11,62.3580615800057,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"96",1,5,6,0,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"97",1,6,17,64.2925814052132,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"98",1,7,8,5.27654401279127,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"99",1,8,9,12.7816142908733,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"100",1,9,14,17.6181210177056,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"101",1,10,28,25.5088369963733,0.15,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"102",1,11,15,17.2623075073354,0.15,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.129871463245226,1.08220161674217,NA,0.469884744259028
"103",1,1,14,48.1083744789574,0.01,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.0771947122348701,2.75025646218441,NA,0.345653158268464
"104",1,2,11,100,0.01,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.0771947122348701,2.75025646218441,NA,0.345653158268464
"105",1,3,4,49.4352344420027,0.13,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.0771947122348701,2.75025646218441,NA,0.345653158268464
"106",1,4,15,65.3511017859934,0.13,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.0771947122348701,2.75025646218441,NA,0.345653158268464
"107",1,5,26,36.4000337418131,0.14,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.0771947122348701,2.75025646218441,NA,0.345653158268464
"108",1,6,10,94.3916066437779,0.19,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.0771947122348701,2.75025646218441,NA,0.345653158268464
"109",1,1,11,57.9605904756227,0.2,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"110",1,2,8,0.777319290930366,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"111",1,3,3,37.9234817704629,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"112",1,4,0,38.0950917305609,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"113",1,5,27,100,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"114",1,6,19,86.7104304089545,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"115",1,7,26,81.7495961981578,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"116",1,8,24,18.6205092977509,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"117",1,9,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"118",1,10,10,15.7004776888352,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"119",1,11,14,64.6405935380752,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0833703229306426,2.05966833070596,NA,0.51233960183321
"120",1,1,19,34.4993795994359,-0.15,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.0990941393569998,2.04851211234633,NA,0.318248391934493
"121",1,2,29,92.8554762953263,-0.14,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.0990941393569998,2.04851211234633,NA,0.318248391934493
"122",1,3,0,49.1383234922363,-0.03,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.0990941393569998,2.04851211234633,NA,0.318248391934493
"123",1,4,10,30.4184212751277,0.08,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.0990941393569998,2.04851211234633,NA,0.318248391934493
"124",1,5,8,58.0893459326138,0.46,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.0990941393569998,2.04851211234633,NA,0.318248391934493
"125",1,6,23,2.80778778228416,0.46,"Rough","Avg. Reward Condition",5,"15",1.01,"0:04:16","0:00:52",11,15,"Short",0.0990941393569998,2.04851211234633,NA,0.318248391934493
"126",1,1,23,39.5149288889037,-0.1,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.123511564113215,1.3365862130205,NA,0.501657043949485
"127",1,2,24,13.5465890896533,0.13,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.123511564113215,1.3365862130205,NA,0.501657043949485
"128",1,3,6,29.5610577974215,0.13,"Rough","Avg. Reward Condition",10,"16",1.01,"0:04:16","0:00:52",39,16,"Long",0.123511564113215,1.3365862130205,NA,0.501657043949485
