"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"131",51,"Best",760.047466712079,"LRBF","UCB",0.339657473669003,1.04,NA,0.0652831129290841,4.54758859509291,0.818940643911407,"LRBF-UCB"
"132",52,"Best",665.03562295749,"LRBF","UCB",0.422205424532759,1.1,NA,0.484483933739001,0.302833838910041,0.0613474281274881,"LRBF-UCB"
"133",53,"Best",634.489475351648,"LRBF","UCB",0.448744451584556,0.95,NA,0.335825191825037,42.9643714023365,6.9141829359255,"LRBF-UCB"
"134",54,"Cumulative",681.046940367865,"LRBF","UCB",0.408294512054632,1.18,NA,0.393459435085859,0.13424494881172,0.0457853935574775,"LRBF-UCB"
"135",55,"Cumulative",766.204205236411,"LRBF","UCB",0.334308391606136,0.94,NA,0.321792256071766,5.38543915621852,1.05589351210409,"LRBF-UCB"
"136",56,"Best",677.205389851187,"LRBF","UCB",0.411632118302022,1.07,NA,0.106105253618186,26.8668684323916,4.70624279269318,"LRBF-UCB"
"137",57,"Best",1018.78170045781,"LRBF","UCB",0.114864648164208,1.14,NA,0.309957690958968,20.6752679431948,6.6297510600054,"LRBF-UCB"
"138",58,"Best",659.06917833619,"LRBF","UCB",0.427389175925928,0.72,NA,0.423834581667336,0.649679430613621,0.102765186799529,"LRBF-UCB"
"139",59,"Best",1006.40902425663,"LRBF","UCB",0.125614245548571,1.1,NA,0.229134604019751,0.281752338023378,0.0758947285629473,"LRBF-UCB"
"140",60,"Cumulative",730.093178066375,"LRBF","UCB",0.365682283309274,0.89,NA,0.62465491239055,100.212709415556,17.1828249261379,"LRBF-UCB"
"141",61,"Cumulative",538.654477516349,"LRBF","UCB",0.532007573104123,1.19,NA,0.133379313138133,0.0582956194027862,0.0355139919136383,"LRBF-UCB"
"142",62,"Cumulative",826.806357767558,"LRBF","UCB",0.281656182032134,0.86,NA,0.712459654324479,1.80981380991143,0.327457582510097,"LRBF-UCB"
"143",63,"Cumulative",792.419179657776,"LRBF","UCB",0.311532363535163,0.88,NA,0.441290482981422,0.0715142295891525,0.050852709541941,"LRBF-UCB"
"144",64,"Best",456.333625584053,"LRBF","UCB",0.603529368407054,0.99,NA,0.140677494586163,0.236335277332517,0.0454306098337537,"LRBF-UCB"
"145",65,"Best",799.670310265069,"LRBF","UCB",0.305232454498311,1.16,NA,0.297271924443,0.963704615473493,0.18867169273788,"LRBF-UCB"
"146",66,"Best",842.786411338077,"LRBF","UCB",0.267772432124632,1.1,NA,0.103429219279278,0.471070748694605,0.102222123804744,"LRBF-UCB"
"147",67,"Cumulative",781.868775430979,"LRBF","UCB",0.320698739170983,0.83,NA,0.862414987545773,62.945555363566,9.86586963754346,"LRBF-UCB"
"148",68,"Best",764.536230301141,"LRBF","UCB",0.33575755738966,1.07,NA,0.375311799851449,0.22023676780938,0.0452502398399662,"LRBF-UCB"
"149",69,"Best",905.54018866643,"LRBF","UCB",0.213250853311824,1.03,NA,0.293260514635524,44.654271300174,9.72030883728726,"LRBF-UCB"
