"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"116",36,"Cumulative",819.888819233016,"LRBF","UCB",0.287666260444278,0.98,NA,0.562350326925536,0.259162555548863,0.0550293680741616,"LRBF-UCB",70
"117",37,"Cumulative",811.953529667551,"LRBF","UCB",0.294560578744549,0.87,NA,0.760395319986615,0.641608440044821,0.107276408008456,"LRBF-UCB",70
"118",38,"Best",830.577463358806,"LRBF","UCB",0.278379779567485,1.12,NA,0.616683908546412,0.481816554420449,0.0984406706275106,"LRBF-UCB",70
"119",39,"Best",730.682281514445,"LRBF","UCB",0.365170459934806,1.24,NA,0.820645047048282,0.466739453202986,0.0816555244745519,"LRBF-UCB",70
"120",40,"Best",1007.6830527925,"LRBF","UCB",0.124507347283876,1.34,NA,0.661225014596744,0.641411577096594,0.183495816247166,"LRBF-UCB",70
"121",41,"Best",859.633596638485,"LRBF","UCB",0.253135303010889,1.16,NA,0.749391009256312,0.566912417084269,0.104727263152034,"LRBF-UCB",70
"122",42,"Cumulative",638.419204895046,"LRBF","UCB",0.445330233857194,0.81,NA,0.525958421675023,0.97216587478563,0.155356052281741,"LRBF-UCB",70
"123",43,"Cumulative",919.67954531061,"LRBF","UCB",0.200966333073235,0.87,NA,0.694380762003021,0.545347699020794,0.116676494184218,"LRBF-UCB",70
"124",44,"Cumulative",772.714233633199,"LRBF","UCB",0.32865236512582,0.82,NA,0.862982796904641,0.468906780685647,0.0776886054758384,"LRBF-UCB",70
"125",45,"Best",865.063750073165,"LRBF","UCB",0.24841749077617,0.96,NA,15.0980908648996,106.144373109283,0.444751454125533,"LRBF-UCB",70
"126",46,"Best",804.714356918863,"LRBF","UCB",0.300850098584796,1.08,NA,0.526893188167534,0.468889476350071,0.0971288066332059,"LRBF-UCB",70
"127",47,"Best",545.879175412489,"LRBF","UCB",0.525730629268821,0.91,NA,0.672224263587932,0.136739788795369,0.0486721455327967,"LRBF-UCB",70
