"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"80",80,"Best","Rough",197.401451159017,"BMT","UCB",0.516343243746738,1.06,5.74672631881626,NA,0.00960738289735347,0.00673951098851929,"BMT-UCB"
"81",81,"Best","Smooth",156.810579697991,"BMT","UCB",0.615795649537403,1.3,5.86839786863965,NA,0.0067384358552086,0.00673798759028123,"BMT-UCB"
"82",1,"Cumulative","Rough",255.407866509198,"RBF","UCB",0.374220708550439,1.01,NA,0.482774147972101,0.0888252537962483,0.0450182369089664,"RBF-UCB"
"83",2,"Cumulative","Rough",254.912404195456,"RBF","UCB",0.375434649451597,1.04,NA,0.450310222923766,0.122594041819978,0.0231124069822038,"RBF-UCB"
"84",3,"Cumulative","Smooth",269.177312065889,"RBF","UCB",0.340483948591209,1.26,NA,1.31270429798992,0.0971620050386567,0.0494855988160131,"RBF-UCB"
"85",4,"Best","Rough",219.890115283487,"RBF","UCB",0.461243373512509,1.06,NA,0.575260082601209,0.0611369718513994,0.0373602920694172,"RBF-UCB"
"86",5,"Best","Rough",312.505516217257,"RBF","UCB",0.234324755986041,1.16,NA,0.664354566758858,0.0354939383258106,0.07597469930051,"RBF-UCB"
"87",6,"Best","Smooth",321.783369686601,"RBF","UCB",0.211592924544938,1.11,NA,0.702574593869603,0.0177766610392418,0.0733098038632233,"RBF-UCB"
"88",7,"Cumulative","Rough",288.281389473036,"RBF","UCB",0.293676713610405,1.24,NA,1.07268369634756,0.0717398394978838,0.0665094893185502,"RBF-UCB"
"89",8,"Cumulative","Rough",240.080420405315,"RBF","UCB",0.411774752964626,1.23,NA,1.24269024222789,0.0536702033374272,0.0455233082418695,"RBF-UCB"
"90",9,"Cumulative","Smooth",173.867299491132,"RBF","UCB",0.574004681340184,1.13,NA,0.399031824342383,0.0569644152494345,0.0300719734069106,"RBF-UCB"
"91",10,"Cumulative","Smooth",229.684173835643,"RBF","UCB",0.437246778948092,1.12,NA,0.797969977378354,0.139411392765339,0.0456299551871879,"RBF-UCB"
"92",11,"Best","Rough",234.831938242229,"RBF","UCB",0.424634151126831,1.15,NA,0.521563438566321,0.040110529997493,0.0531892824606485,"RBF-UCB"
"93",12,"Best","Rough",380.820301521268,"RBF","UCB",0.0669455028433696,1.01,NA,1.09222322147793,0.0461356523655794,0.14246865953245,"RBF-UCB"
"94",13,"Best","Smooth",185.154331817821,"RBF","UCB",0.546350125556525,1.22,NA,0.672153858507709,0.148639433682784,0.034868315544902,"RBF-UCB"
"95",14,"Best","Smooth",193.735892289983,"RBF","UCB",0.525324293794967,1.2,NA,0.556320029065383,0.0586216748575476,0.0426608101194487,"RBF-UCB"
"96",15,"Cumulative","Rough",403.307799187489,"RBF","UCB",0.0118484905689447,1.05,NA,0.795301667390103,0.0987521919629077,0.185703880608841,"RBF-UCB"
"97",16,"Cumulative","Smooth",179.297643318654,"RBF","UCB",0.560699700725612,1.13,NA,0.351556506249869,0.0746890839660962,0.0302527208450383,"RBF-UCB"
"98",17,"Cumulative","Smooth",176.25549300638,"RBF","UCB",0.568153326539557,1.17,NA,0.91599585447725,0.0277280307996518,0.0517071666525265,"RBF-UCB"
