"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"141",60,"Cumulative","Smooth",408.77969823443,"WSLS","",-0.00155830521725475,1.11,NA,NA,NA,148.40475810542,"WSLS-",0,NA
"142",61,"Cumulative","Smooth",410.446568661791,"WSLS","",-0.0056423336742828,1.34,NA,NA,NA,1.00486767822461,"WSLS-",0,NA
"143",62,"Best","Rough",410.853570787906,"WSLS","",-0.00663953671888717,1.15,NA,NA,NA,1.73806535729452,"WSLS-",0,NA
"144",63,"Best","Rough",410.554516555747,"WSLS","",-0.0059068187017679,1.02,NA,NA,NA,148.405199917247,"WSLS-",0,NA
"145",64,"Best","Smooth",407.261012014282,"WSLS","",0.00216265451576758,1.21,NA,NA,NA,2.96665859842611,"WSLS-",0,NA
"146",65,"Best","Smooth",399.270886803923,"WSLS","",0.0217394003735623,1.14,NA,NA,NA,74.5351002253466,"WSLS-",0,NA
"147",66,"Cumulative","Rough",381.532432068551,"WSLS","",0.065200699304664,1.3,NA,NA,NA,0.463955247578912,"WSLS-",0,NA
"148",67,"Cumulative","Rough",408.188493811221,"WSLS","",-0.000109784895177212,1.04,NA,NA,NA,148.403082476985,"WSLS-",0,NA
"149",68,"Cumulative","Smooth",390.407288206231,"WSLS","",0.0434562586910694,1.18,NA,NA,NA,0.695491470024566,"WSLS-",0,NA
"150",69,"Cumulative","Smooth",407.960919742574,"WSLS","",0.000447798320158843,1.1,NA,NA,NA,4.89583910245056,"WSLS-",0,NA
"151",70,"Best","Rough",408.773397857897,"WSLS","",-0.00154286855425623,1.04,NA,NA,NA,84.4754087997257,"WSLS-",0,NA
"152",71,"Best","Rough",411.754266906703,"WSLS","",-0.00884634807021945,1.22,NA,NA,NA,2.31797363926944,"WSLS-",0,NA
"153",72,"Best","Smooth",408.88773966245,"WSLS","",-0.00182301941418905,1.39,NA,NA,NA,1.24418788860618,"WSLS-",0,NA
"154",73,"Best","Smooth",409.767661711827,"WSLS","",-0.00397893185383369,1.14,NA,NA,NA,79.0760575568627,"WSLS-",0,NA
"155",74,"Best","Smooth",409.755857896687,"WSLS","",-0.00395001111941973,1.24,NA,NA,NA,2.845614071339,"WSLS-",0,NA
"156",75,"Best","Rough",408.224202418242,"WSLS","",-0.00019727517926893,1.04,NA,NA,NA,1.22646387902811,"WSLS-",0,NA
"157",76,"Best","Smooth",410.135410998204,"WSLS","",-0.00487996082762976,1.09,NA,NA,NA,148.401766573394,"WSLS-",0,NA
"158",77,"Cumulative","Smooth",404.06327889207,"WSLS","",0.00999747649996408,1.15,NA,NA,NA,0.893536926013022,"WSLS-",0,NA
"159",78,"Best","Smooth",409.415026774761,"WSLS","",-0.00311493481226433,1.33,NA,NA,NA,148.403792071653,"WSLS-",0,NA
"160",79,"Cumulative","Smooth",411.158554055132,"WSLS","",-0.00738678156877093,1.15,NA,NA,NA,148.401998575691,"WSLS-",0,NA
"161",80,"Best","Rough",408.575988708892,"WSLS","",-0.00105919293737511,1.06,NA,NA,NA,148.402685113982,"WSLS-",0,NA
"162",81,"Best","Smooth",408.748843043503,"WSLS","",-0.00148270637302517,1.3,NA,NA,NA,148.402628654914,"WSLS-",0,NA
"163",1,"Cumulative","Rough",405.73539547938,"LWSLS","",0.00590059433447132,1.01,NA,NA,NA,2.22533704549223,"LWSLS-",0,NA
"164",2,"Cumulative","Rough",385.640489140388,"LWSLS","",0.055135476652034,1.04,NA,NA,NA,0.577479201305647,"LWSLS-",0,NA
"165",3,"Cumulative","Smooth",398.880237149499,"LWSLS","",0.0226965379405908,1.26,NA,NA,NA,0.722848324364805,"LWSLS-",0,NA
"166",4,"Best","Rough",395.097249961659,"LWSLS","",0.0319653011714348,1.06,NA,NA,NA,0.663405918804669,"LWSLS-",0,NA
"167",5,"Best","Rough",384.027097777817,"LWSLS","",0.0590884751148433,1.16,NA,NA,NA,0.554916238293363,"LWSLS-",0,NA
"168",6,"Best","Smooth",385.708932882688,"LWSLS","",0.0549677814390929,1.11,NA,NA,NA,0.574090450363564,"LWSLS-",0,NA
"169",7,"Cumulative","Rough",315.013161239267,"LWSLS","",0.228180730954517,1.24,NA,NA,NA,0.321560246312249,"LWSLS-",0,NA
"170",8,"Cumulative","Rough",360.518092598197,"LWSLS","",0.116688300856532,1.23,NA,NA,NA,0.421488403554974,"LWSLS-",0,NA
"171",9,"Cumulative","Smooth",394.817995381611,"LWSLS","",0.0326495077137998,1.13,NA,NA,NA,0.623193554972318,"LWSLS-",0,NA
"172",10,"Cumulative","Smooth",389.693101546666,"LWSLS","",0.045206099946524,1.12,NA,NA,NA,0.605016417958516,"LWSLS-",0,NA
"173",11,"Best","Rough",406.476879024477,"LWSLS","",0.00408387250121722,1.15,NA,NA,NA,1.30475241650476,"LWSLS-",0,NA
"174",12,"Best","Rough",399.157731302411,"LWSLS","",0.0220166446516173,1.01,NA,NA,NA,0.797643629229168,"LWSLS-",0,NA
"175",13,"Best","Smooth",401.560865859671,"LWSLS","",0.0161286825420154,1.22,NA,NA,NA,27.7672072357919,"LWSLS-",0,NA
