"participant","leaveoutindex","reward","environment","horizon","tau"
47,3,"Cumulative","Rough",20,0.202802773798121
47,4,"Cumulative","Rough",20,0.231704101955211
47,1,"Cumulative","Rough",40,0.19975826666709
47,2,"Cumulative","Rough",40,0.190485842575284
47,3,"Cumulative","Rough",40,0.192697005586714
47,4,"Cumulative","Rough",40,0.186388253279185
48,1,"Cumulative","Smooth",20,0.191260001575045
48,2,"Cumulative","Smooth",20,0.183123777119298
48,3,"Cumulative","Smooth",20,0.186885361327006
48,4,"Cumulative","Smooth",20,0.200471241458505
48,1,"Cumulative","Smooth",40,0.167620654438479
48,2,"Cumulative","Smooth",40,0.143603600702822
48,3,"Cumulative","Smooth",40,0.172991181317983
48,4,"Cumulative","Smooth",40,0.179876203482431
49,1,"Cumulative","Smooth",20,0.208545238157863
49,2,"Cumulative","Smooth",20,0.17601104036127
49,3,"Cumulative","Smooth",20,0.192376288020251
49,4,"Cumulative","Smooth",20,0.188034744037949
49,1,"Cumulative","Smooth",40,0.177418067845746
49,2,"Cumulative","Smooth",40,0.193429384639116
49,3,"Cumulative","Smooth",40,0.182451499956359
49,4,"Cumulative","Smooth",40,0.187215878670366
50,1,"Best","Rough",20,0.239170955248304
50,2,"Best","Rough",20,0.220850751020212
50,3,"Best","Rough",20,0.204807801361944
50,4,"Best","Rough",20,0.245892662088909
50,1,"Best","Rough",40,0.246507699420609
50,2,"Best","Rough",40,0.231601529773387
50,3,"Best","Rough",40,0.244585791193901
50,4,"Best","Rough",40,0.23812909691467
51,1,"Best","Rough",20,0.253196835559998
51,2,"Best","Rough",20,0.245337480003545
51,3,"Best","Rough",20,0.261762905671572
51,4,"Best","Rough",20,0.258835907464973
51,1,"Best","Rough",40,0.215501368950363
51,2,"Best","Rough",40,0.21340142174782
51,3,"Best","Rough",40,0.218285519559159
51,4,"Best","Rough",40,0.20904328456334
52,1,"Best","Smooth",20,0.210066030868409
52,2,"Best","Smooth",20,0.198595080030027
52,3,"Best","Smooth",20,0.187790132076964
52,4,"Best","Smooth",20,0.185219249390156
52,1,"Best","Smooth",40,0.25586331959101
52,2,"Best","Smooth",40,0.243273744216286
52,3,"Best","Smooth",40,0.254621157966677
52,4,"Best","Smooth",40,0.234307810760162
53,1,"Best","Smooth",20,0.309144891747824
53,2,"Best","Smooth",20,0.262635094105971
53,3,"Best","Smooth",20,0.245349486805957
53,4,"Best","Smooth",20,0.271064765499845
53,1,"Best","Smooth",40,0.330622333646777
53,2,"Best","Smooth",40,0.35797606986433
53,3,"Best","Smooth",40,0.301786026309481
53,4,"Best","Smooth",40,0.331556045691324
54,1,"Cumulative","Rough",20,0.220920708802292
54,2,"Cumulative","Rough",20,0.210780988907343
54,3,"Cumulative","Rough",20,0.215262228491728
54,4,"Cumulative","Rough",20,0.191364600745258
54,1,"Cumulative","Rough",40,0.243377468210014
54,2,"Cumulative","Rough",40,0.214016534883897
54,3,"Cumulative","Rough",40,0.219064711979124
54,4,"Cumulative","Rough",40,0.221685832096054
55,1,"Cumulative","Rough",20,0.279051299833084
55,2,"Cumulative","Rough",20,0.266287230554039
55,3,"Cumulative","Rough",20,0.266476643672243
55,4,"Cumulative","Rough",20,0.244158258903573
55,1,"Cumulative","Rough",40,0.29004948245896
55,2,"Cumulative","Rough",40,0.288572534008962
55,3,"Cumulative","Rough",40,0.268449551191509
55,4,"Cumulative","Rough",40,0.291849797888446
56,1,"Cumulative","Smooth",20,0.247491593620878
56,2,"Cumulative","Smooth",20,0.244180884059866
56,3,"Cumulative","Smooth",20,0.248100226644639
56,4,"Cumulative","Smooth",20,0.238618210881395
56,1,"Cumulative","Smooth",40,0.212257497902748
56,2,"Cumulative","Smooth",40,0.209780353666655
56,3,"Cumulative","Smooth",40,0.209874484669927
56,4,"Cumulative","Smooth",40,0.202000535346097
57,1,"Cumulative","Smooth",20,0.250330490934851
57,2,"Cumulative","Smooth",20,0.22265990929891
57,3,"Cumulative","Smooth",20,0.225005470763332
57,4,"Cumulative","Smooth",20,0.205077489882128
57,1,"Cumulative","Smooth",40,0.254500605091279
57,2,"Cumulative","Smooth",40,0.247752255434163
57,3,"Cumulative","Smooth",40,0.230155564007019
57,4,"Cumulative","Smooth",40,0.258076153603251
58,1,"Best","Rough",20,0.205169069460275
58,2,"Best","Rough",20,0.204640800585269
58,3,"Best","Rough",20,0.207345943294034
58,4,"Best","Rough",20,0.218033354676988
58,1,"Best","Rough",40,0.203027032646696
58,2,"Best","Rough",40,0.205573597405012
58,3,"Best","Rough",40,0.191675876367565
58,4,"Best","Rough",40,0.194147616598521
59,1,"Best","Rough",20,0.258650977800025
59,2,"Best","Rough",20,0.282610374858757
59,3,"Best","Rough",20,0.213405099600509
59,4,"Best","Rough",20,0.228641171141273
59,1,"Best","Rough",40,0.217378950866397
59,2,"Best","Rough",40,0.195033856229948
59,3,"Best","Rough",40,0.200597302071967
59,4,"Best","Rough",40,0.183794398010399
60,1,"Best","Smooth",20,0.256787953849933
60,2,"Best","Smooth",20,0.23966264327927
60,3,"Best","Smooth",20,0.231409956565962
60,4,"Best","Smooth",20,0.236370261124392
60,1,"Best","Smooth",40,0.257747670620642
60,2,"Best","Smooth",40,0.275755552994789
60,3,"Best","Smooth",40,0.274933504715171
60,4,"Best","Smooth",40,0.294924556919287
61,1,"Best","Smooth",20,0.258735398525135
61,2,"Best","Smooth",20,0.227016990326045
61,3,"Best","Smooth",20,0.22788802422643
61,4,"Best","Smooth",20,0.257571320652732
61,1,"Best","Smooth",40,0.256992080924407
61,2,"Best","Smooth",40,0.277791561253145
61,3,"Best","Smooth",40,0.252524193430665
61,4,"Best","Smooth",40,0.253332989259281
62,1,"Cumulative","Rough",20,0.244270078654019
62,2,"Cumulative","Rough",20,0.227797605195239
62,3,"Cumulative","Rough",20,0.239686767568894
62,4,"Cumulative","Rough",20,0.235422391620443
62,1,"Cumulative","Rough",40,0.228821904828153
62,2,"Cumulative","Rough",40,0.233905975606576
62,3,"Cumulative","Rough",40,0.246443244562971
62,4,"Cumulative","Rough",40,0.223045583818391
63,1,"Cumulative","Rough",20,0.21592691710431
63,2,"Cumulative","Rough",20,0.230402885674704
63,3,"Cumulative","Rough",20,0.225802786687894
63,4,"Cumulative","Rough",20,0.224144261871956
63,1,"Cumulative","Rough",40,0.216386953399032
63,2,"Cumulative","Rough",40,0.221173550683055
63,3,"Cumulative","Rough",40,0.221396075574348
63,4,"Cumulative","Rough",40,0.215860049447735
64,1,"Cumulative","Smooth",20,0.195785415634664
64,2,"Cumulative","Smooth",20,0.190731517100695
64,3,"Cumulative","Smooth",20,0.188150448150082
64,4,"Cumulative","Smooth",20,0.169171456574828
64,1,"Cumulative","Smooth",40,0.152454397990233
64,2,"Cumulative","Smooth",40,0.153452782961581
64,3,"Cumulative","Smooth",40,0.171613292245164
64,4,"Cumulative","Smooth",40,0.168869763575492
65,1,"Best","Rough",20,0.252446202536214
65,2,"Best","Rough",20,0.25026895271687
65,3,"Best","Rough",20,0.250704029702811
65,4,"Best","Rough",20,0.253018591761319
65,1,"Best","Rough",40,0.247919607160367
65,2,"Best","Rough",40,0.261122523111959
65,3,"Best","Rough",40,0.253187885548706
65,4,"Best","Rough",40,0.258431852150183
66,1,"Best","Rough",20,0.339907071003598
66,2,"Best","Rough",20,0.319098525708505
66,3,"Best","Rough",20,0.312579768604163
66,4,"Best","Rough",20,0.275681330217217
66,1,"Best","Rough",40,0.394336906341962
66,2,"Best","Rough",40,0.357370478429363
66,3,"Best","Rough",40,0.36091027139447
66,4,"Best","Rough",40,0.359845428741666
67,1,"Best","Smooth",20,0.200501780928074
67,2,"Best","Smooth",20,0.223913574085822
67,3,"Best","Smooth",20,0.209089298851268
67,4,"Best","Smooth",20,0.209367118645549
67,1,"Best","Smooth",40,0.248147252779471
67,2,"Best","Smooth",40,0.238664084635446
67,3,"Best","Smooth",40,0.236002363911814
67,4,"Best","Smooth",40,0.235296727031444
68,1,"Best","Smooth",20,0.231177017445531
68,2,"Best","Smooth",20,0.203847764560874
68,3,"Best","Smooth",20,0.210676290552336
68,4,"Best","Smooth",20,0.216495789733456
68,1,"Best","Smooth",40,0.170058542625375
68,2,"Best","Smooth",40,0.147641241875262
68,3,"Best","Smooth",40,0.180863077785453
68,4,"Best","Smooth",40,0.174292467033564
69,1,"Cumulative","Rough",20,0.275521564527914
69,2,"Cumulative","Rough",20,0.24822993790952
69,3,"Cumulative","Rough",20,0.275054386584688
69,4,"Cumulative","Rough",20,0.312935374849822
69,1,"Cumulative","Rough",40,0.269732075828143
69,2,"Cumulative","Rough",40,0.271869057314308
69,3,"Cumulative","Rough",40,0.298780241663092
69,4,"Cumulative","Rough",40,0.278147414572281
70,1,"Cumulative","Rough",20,0.235277157231221
70,2,"Cumulative","Rough",20,0.22196971025186
70,3,"Cumulative","Rough",20,0.258899225583964
70,4,"Cumulative","Rough",20,0.234141587835291
70,1,"Cumulative","Rough",40,0.252786662543984
70,2,"Cumulative","Rough",40,0.271124680180075
70,3,"Cumulative","Rough",40,0.260308066978437
70,4,"Cumulative","Rough",40,0.237472873007461
71,1,"Cumulative","Smooth",20,0.236797994630923
71,2,"Cumulative","Smooth",20,0.191592831063891
71,3,"Cumulative","Smooth",20,0.216981335816651
71,4,"Cumulative","Smooth",20,0.201870933540264
71,1,"Cumulative","Smooth",40,0.18319931420134
71,2,"Cumulative","Smooth",40,0.210942576033059
71,3,"Cumulative","Smooth",40,0.196194961783395
71,4,"Cumulative","Smooth",40,0.19377171334798
72,1,"Cumulative","Smooth",20,0.197180355207049
72,2,"Cumulative","Smooth",20,0.21441800888779
72,3,"Cumulative","Smooth",20,0.218906291416917
72,4,"Cumulative","Smooth",20,0.199078510498441
72,1,"Cumulative","Smooth",40,0.20727545133449
72,2,"Cumulative","Smooth",40,0.187416414470727
72,3,"Cumulative","Smooth",40,0.190620576372046
