"participant","leaveoutindex","reward","horizon","kError","beta","tau"
41,1,"Best",40,0.00674097960312913,0.603038248163115,0.300397096433435
41,2,"Best",40,0.00673802937869752,0.4038082972399,0.223035543829587
41,3,"Best",40,0.00677221111927773,0.681113651848657,0.363164632250421
41,4,"Best",40,0.00675538672660506,45.3546588378256,23.412552329652
42,1,"Cumulative",20,0.00673808597759993,44.3790972419988,18.9534575486435
42,2,"Cumulative",20,0.00674020832372528,43.6486025160142,19.5906091986942
42,3,"Cumulative",20,0.00673952928593707,44.7128461034081,19.1232432744393
42,4,"Cumulative",20,0.0067381150881916,43.9377753714242,15.8005613694287
42,1,"Cumulative",40,0.00676238248498374,0.460735715286528,0.17254683696575
42,2,"Cumulative",40,0.00675908941792121,44.7401833378221,17.076699341176
42,3,"Cumulative",40,0.00674132110041162,0.552295303778025,0.224131035951385
42,4,"Cumulative",40,0.00674012820443683,0.438727883185968,0.168784318668831
43,1,"Cumulative",20,0.00673908581354172,0.274004309474784,0.134490345129142
43,2,"Cumulative",20,0.00673856234410449,0.267378167063115,0.121909993635367
43,3,"Cumulative",20,0.00673795038458194,44.7244406531104,22.5580649991497
43,4,"Cumulative",20,0.0067381966821007,0.247206072201513,0.145991807191918
43,1,"Cumulative",40,0.718052487947949,0.649733725978226,0.334789034342256
43,2,"Cumulative",40,1.10731933499839,0.528434855009751,0.264601076337407
43,3,"Cumulative",40,0.960665757369908,0.489406219281415,0.246159770039525
43,4,"Cumulative",40,1.35477035170959,0.902515979673423,0.472776940233821
44,1,"Cumulative",20,0.00674347659478836,44.7918548421777,17.2036154053844
44,2,"Cumulative",20,0.556154329875785,51.8913729457231,17.7754805768915
44,3,"Cumulative",20,0.710025824016114,45.0101258020739,17.9406435731239
44,4,"Cumulative",20,0.603889110456051,44.7259638230087,20.0033220513353
44,1,"Cumulative",40,0.00673939023420584,39.7475910297688,23.1480999777304
44,2,"Cumulative",40,0.00682575959871468,44.9049194324228,23.2529226208113
44,3,"Cumulative",40,0.00691737641537098,44.8267503364313,26.1865464820676
44,4,"Cumulative",40,0.00694947911826899,45.8531204302088,23.1215992365028
45,1,"Best",20,0.659252272207056,53.9791545096346,18.55355387939
45,2,"Best",20,0.00673824238521365,37.9051901742898,19.7113001579165
45,3,"Best",20,0.374047055616458,84.6676381090279,22.3554042019183
45,4,"Best",20,0.667895089712884,45.1295864004442,24.2601909524336
45,1,"Best",40,0.365567710223684,48.4909264546299,21.4804641902193
45,2,"Best",40,0.00680439419213269,45.5665321821331,24.6977340935283
45,3,"Best",40,0.416220753171819,44.8452262837162,20.5218449170744
45,4,"Best",40,0.00674007778148006,44.6488199991989,22.8865075941377
46,1,"Best",20,0.00674913347786507,44.6990669100329,18.7574547825616
46,2,"Best",20,0.00674042941492286,44.6956549405056,24.4265401396385
46,3,"Best",20,0.00673820164222051,44.7038790018684,25.2126022878873
46,4,"Best",20,0.00677075793569718,44.6181402810393,23.9931586865948
46,1,"Best",40,0.501198006140682,44.7942598210747,17.9073139585844
46,2,"Best",40,0.683764361814647,44.7330859253524,18.755700204237
46,3,"Best",40,0.584023320010929,44.8837714211943,19.323272625213
46,4,"Best",40,0.0112424583248955,2.66959383610614,1.14086252502295
47,1,"Best",20,8.26234116821386,0.00931033997461107,0.00673795025585319
47,2,"Best",20,9.32688628148269,0.010044221846546,0.00673794813212903
47,3,"Best",20,10.2296510395804,0.0107541671276191,0.0067379569542261
47,4,"Best",20,7.30838493467561,0.0252529322925485,0.0153900341894522
47,1,"Best",40,5.38623505926909,0.0358580925031443,0.0241404442935376
47,2,"Best",40,15.2727121864525,0.0107693090304238,0.00677790765333706
47,3,"Best",40,12.7639407106773,0.0160121137498653,0.010600043478883
47,4,"Best",40,11.9874225228381,0.01707347950423,0.0120005751336704
48,1,"Cumulative",20,9.28869642498079,0.016820413750225,0.0105284496184033
48,2,"Cumulative",20,10.7416454444144,0.00991184124092786,0.00673794943342712
48,3,"Cumulative",20,10.6588670689205,0.00921526706502682,0.00673796324988103
48,4,"Cumulative",20,8.20978061688908,0.00861787339638472,0.00673830561054228
