"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"130",50,"Best","Rough",733.779592558114,"LRBF","UCB",0.362479461952459,1.06,NA,0.840227917440914,0.38578588672493,0.0689727857952561,"LRBF-UCB",77
"131",51,"Best","Rough",734.82484511505,"LRBF","UCB",0.361571328257749,1.45,NA,0.84793798450807,0.496752850624248,0.085708985801014,"LRBF-UCB",77
"132",52,"Best","Smooth",835.342250642078,"LRBF","UCB",0.274240049077129,1.4,NA,0.818857831148992,0.990276751425741,0.160769117016627,"LRBF-UCB",77
"133",53,"Best","Smooth",988.334081445493,"LRBF","UCB",0.141318071851459,1.47,NA,1.26483643935251,0.590637674514208,0.112889901991193,"LRBF-UCB",77
"134",54,"Cumulative","Rough",789.077903470247,"LRBF","UCB",0.314435322699526,0.92,NA,0.761377657153001,0.579947193975041,0.101650495291856,"LRBF-UCB",77
"135",55,"Cumulative","Rough",831.800765988813,"LRBF","UCB",0.277316952856594,0.93,NA,0.638656790559643,0.430351584764989,0.0835116294213973,"LRBF-UCB",77
"136",56,"Cumulative","Smooth",857.591551348649,"LRBF","UCB",0.254909467658007,1.04,NA,0.699647837429813,0.431661812703314,0.0941760833165419,"LRBF-UCB",77
"137",57,"Cumulative","Smooth",815.446121414561,"LRBF","UCB",0.291526153976791,1.05,NA,0.86045599083229,0.434349927944038,0.0836615576600432,"LRBF-UCB",77
"138",58,"Best","Rough",697.977847879332,"LRBF","UCB",0.393584643620278,1.21,NA,0.625422539707331,0.608076600272698,0.103013250709604,"LRBF-UCB",77
"139",59,"Best","Rough",799.660453210035,"LRBF","UCB",0.305241018480047,1.41,NA,0.922318896752143,0.323627703708585,0.0785446572709609,"LRBF-UCB",77
"140",60,"Best","Smooth",864.733115917267,"LRBF","UCB",0.248704751511005,1.37,NA,0.81201736242731,0.475103739737931,0.0980624476603827,"LRBF-UCB",77
"141",61,"Best","Smooth",961.186808425009,"LRBF","UCB",0.164904097243916,1.47,NA,0.95436217613225,0.768325862690656,0.134343224504641,"LRBF-UCB",77
"142",62,"Cumulative","Rough",801.223830309681,"LRBF","UCB",0.303882729124706,0.88,NA,0.760362001126472,0.656087870537333,0.122508414736956,"LRBF-UCB",77
"143",63,"Cumulative","Rough",850.109053503083,"LRBF","UCB",0.261410392596264,0.83,NA,0.621912271475618,0.515805660695531,0.102687976706284,"LRBF-UCB",77
"144",64,"Cumulative","Smooth",874.993358699986,"LRBF","UCB",0.23979047321044,1.37,NA,1.1577894288913,0.314805653804077,0.0669116343427717,"LRBF-UCB",77
"145",65,"Best","Rough",818.576008301464,"LRBF","UCB",0.288806853532347,1.12,NA,0.67046258501478,0.406472703995279,0.0793317288025016,"LRBF-UCB",77
"146",66,"Best","Rough",928.096965683492,"LRBF","UCB",0.193653131098805,1.06,NA,1.32155279898729,0.464364345773364,0.0865481445832905,"LRBF-UCB",77
"147",67,"Best","Smooth",781.590697209277,"LRBF","UCB",0.320940338391399,1.47,NA,0.64554259468411,0.437493835024221,0.0842823923374152,"LRBF-UCB",77
"148",68,"Best","Smooth",509.457554354136,"LRBF","UCB",0.557374370371972,1.14,NA,1.12676405921747,0.16229984972404,0.0493241426164364,"LRBF-UCB",77
