"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"139",59,"Best","Rough",984.064921044851,"LRBF","UCB",0.14502719304157,1.41,NA,0.0593814768687864,0.282971082339271,0.0937771039717471,"LRBF-UCB"
"140",60,"Best","Smooth",969.517552265695,"LRBF","UCB",0.157666201355949,1.37,NA,0.413042788943187,0.333412181116726,0.0939923200858465,"LRBF-UCB"
"141",61,"Best","Smooth",864.468008667543,"LRBF","UCB",0.248935081324205,1.47,NA,131.743124787902,146.835157303802,0.317993728986618,"LRBF-UCB"
"142",62,"Cumulative","Rough",850.435948530579,"LRBF","UCB",0.261126380481553,0.88,NA,148.0492001157,147.112661431461,0.314744263677106,"LRBF-UCB"
"143",63,"Cumulative","Rough",880.004348808926,"LRBF","UCB",0.235436837400994,0.83,NA,148.389084587059,148.289907035338,0.320293779118756,"LRBF-UCB"
"144",64,"Cumulative","Smooth",802.717802263926,"LRBF","UCB",0.302584740173041,1.37,NA,74.6542970685305,147.860753946598,11.6117453535788,"LRBF-UCB"
"145",65,"Best","Rough",878.596599799332,"LRBF","UCB",0.236659914350985,1.12,NA,51.0337898522014,72.6108333865226,0.217649063770437,"LRBF-UCB"
"146",66,"Best","Rough",1050.97336442248,"LRBF","UCB",0.0868959677327258,1.06,NA,63.8364627077851,72.7053660228968,0.336592553555076,"LRBF-UCB"
"147",67,"Best","Smooth",848.946268722497,"LRBF","UCB",0.262420640341596,1.47,NA,148.373597624012,111.093121705536,0.276351286556405,"LRBF-UCB"
"148",68,"Best","Smooth",970.562388845138,"LRBF","UCB",0.156758429069756,1.14,NA,121.156572448964,107.114515657465,0.38082062098097,"LRBF-UCB"
"149",69,"Cumulative","Rough",1087.80460483076,"LRBF","UCB",0.0548963421773312,1.08,NA,103.074877269617,143.968855961093,0.448043574974509,"LRBF-UCB"
"150",70,"Cumulative","Rough",852.354143492537,"LRBF","UCB",0.259459819164462,0.96,NA,129.893175446999,148.395533787114,0.326617811095595,"LRBF-UCB"
"151",71,"Cumulative","Smooth",700.538389032849,"LRBF","UCB",0.391360000702379,1.06,NA,137.780604891159,148.350212553268,0.261318143411703,"LRBF-UCB"
"152",72,"Cumulative","Smooth",699.859427419174,"LRBF","UCB",0.391949894422038,1.04,NA,133.146382774862,148.143279279282,0.252348499982601,"LRBF-UCB"
"153",73,"Best","Rough",667.063208369121,"LRBF","UCB",0.420443822880615,1.24,NA,148.405461468311,148.40684292213,0.263173082697418,"LRBF-UCB"
"154",74,"Best","Rough",1084.68694029279,"LRBF","UCB",0.0576050236313489,1.14,NA,74.4246893853435,42.1116698432682,0.282970649228875,"LRBF-UCB"
"155",75,"Best","Smooth",688.315562646311,"LRBF","UCB",0.40197940594809,1.19,NA,148.406826054537,148.394916317609,0.24213759972549,"LRBF-UCB"
"156",76,"Best","Smooth",885.042026896325,"LRBF","UCB",0.231060014609299,1.11,NA,73.8818596144398,74.2554733335547,0.189004598799355,"LRBF-UCB"
"157",77,"Cumulative","Smooth",1009.39010480505,"LRBF","UCB",0.123024230652455,1.25,NA,74.8319221620073,36.6907441225124,0.164905395376988,"LRBF-UCB"
"158",78,"Best","Smooth",850.348032069178,"LRBF","UCB",0.261202763840186,1.41,NA,146.985360477071,145.815605869489,0.327180971785991,"LRBF-UCB"
"159",79,"Cumulative","Smooth",994.718962067174,"LRBF","UCB",0.135770775946004,1.35,NA,137.497992563431,130.271913055373,0.332100414918066,"LRBF-UCB"
"160",80,"Cumulative","Smooth",763.48245003845,"LRBF","UCB",0.336673100104214,0.94,NA,148.379131399108,147.460894617874,0.279106631104055,"LRBF-UCB"
