"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
11,7,"Best","Rough",5,0.0308490630917216,9.10178213870208,0.1166580370488
11,8,"Best","Rough",5,0.335933996434014,10.2184170036494,0.0981871411079649
11,1,"Best","Rough",10,8.79309752292294,33.1228384493996,0.0219070085596759
11,2,"Best","Rough",10,0.0860264105608186,0.934800758197145,0.0177161818033785
11,3,"Best","Rough",10,0.0332972122613428,1.4138207196365,0.0234322619171309
11,4,"Best","Rough",10,0.0135627266949732,39.3010572368331,0.0637351420236014
11,5,"Best","Rough",10,0.25575109328678,10.6546366159258,0.120575240630716
11,6,"Best","Rough",10,0.693746397917657,28.712544612912,0.0557344818911552
11,7,"Best","Rough",10,1.15646147655263,4.7742708156336,0.0253649763534538
11,8,"Best","Rough",10,3.82268809168245,25.2621643061159,0.0256451297941843
12,1,"Best","Rough",5,3.19288947595856,0.19103239772037,0.0385378509930959
12,2,"Best","Rough",5,4.04909912300958,0.204875450775123,0.0290283543511733
12,3,"Best","Rough",5,0.00674558177650499,0.115115709905006,0.0901444363894624
12,4,"Best","Rough",5,0.00674315560062557,0.213649563013901,0.0081424211107906
12,5,"Best","Rough",5,4.02601089392446,0.205781029208001,0.0290161401432613
12,6,"Best","Rough",5,4.03788317162647,0.193775212513888,0.0303789403993118
12,7,"Best","Rough",5,8.38497414389864,0.214128151537835,0.0067432312096246
12,8,"Best","Rough",5,0.0799326241430415,0.125035464810275,0.122494343749453
12,1,"Best","Rough",10,10.7829556182217,0.398545516400007,0.00676486759330753
12,2,"Best","Rough",10,10.1541714140537,0.301857898219716,0.00682294299051075
12,3,"Best","Rough",10,0.8175003529905,0.241514737692659,0.145312149204207
12,4,"Best","Rough",10,0.800756959112896,0.234768611303431,0.138185286755621
12,5,"Best","Rough",10,10.1436919460713,0.293557756279074,0.00674243792566129
12,6,"Best","Rough",10,0.784700370873723,0.21645235476778,0.117057065229001
12,7,"Best","Rough",10,10.7453025114866,0.307858468634845,0.00677336705646968
12,8,"Best","Rough",10,9.81704694290408,0.289591670556334,0.00677634519188415
13,1,"Best","Smooth",5,0.0183095723093737,2.49399423457416,0.0653101838871028
13,2,"Best","Smooth",5,0.165144855216726,37.1928414166826,0.442517893627375
13,3,"Best","Smooth",5,0.0345192308377689,7.28280130425876,0.244719145960787
13,4,"Best","Smooth",5,1.05252736300926,24.8487771238464,0.064976484554758
13,5,"Best","Smooth",5,0.0179124284076769,1.98443910149711,0.0632047452442672
13,6,"Best","Smooth",5,0.156167815605716,24.2465731110818,0.0751729310374471
13,7,"Best","Smooth",5,0.0110289730505136,2.13713023346277,0.0234346427851482
13,8,"Best","Smooth",5,0.654977879655517,31.1509795403563,0.030443563389928
13,1,"Best","Smooth",10,24.6524035195922,44.5685936688851,0.00709850946945732
13,2,"Best","Smooth",10,0.108664932401719,15.5143029463129,0.03485291759175
13,3,"Best","Smooth",10,0.0561890132141054,4.01715557575117,0.00838843387132577
13,4,"Best","Smooth",10,0.903577951907741,8.51616223422292,0.0245774209990008
13,5,"Best","Smooth",10,0.11173613934103,30.0380268909446,0.0610933698570904
13,6,"Best","Smooth",10,0.187706826838996,2.53210227361127,0.0180165166720217
13,7,"Best","Smooth",10,1.36264524878013,6.71627521126113,0.00678010065147642
13,8,"Best","Smooth",10,0.0104531506145208,32.6425535661963,0.36469681165882
14,1,"Best","Smooth",5,4.02467556386232,49.5773227496303,6.56859293352297
14,2,"Best","Smooth",5,3.49877980520093,44.7102962017218,11.9692848849281
14,3,"Best","Smooth",5,37.3561599254867,44.2099130098409,0.137757310907651
14,4,"Best","Smooth",5,6.79101552592653,46.5755801770297,2.01753772022299
14,5,"Best","Smooth",5,53.8488943555219,44.7246538117627,0.147421517967411
14,6,"Best","Smooth",5,7.83685725601673,46.2970756525567,0.967851911923906
14,7,"Best","Smooth",5,23.1552020720397,44.8512313964696,0.331093287575464
14,8,"Best","Smooth",5,4.50668927448035,47.9869555157939,6.92520473879359
14,1,"Best","Smooth",10,1.90366483881148,0.437143246810429,0.0597490921347579
14,2,"Best","Smooth",10,2.45513664824277,0.510311181326683,0.0541432121750966
14,3,"Best","Smooth",10,3.28174693614933,0.499752475966742,0.0344982704644684
14,4,"Best","Smooth",10,8.89393858084197,0.578653346766557,0.00706713302800354
14,5,"Best","Smooth",10,7.47528413410212,0.58788258297534,0.0107964070623888
14,6,"Best","Smooth",10,5.67002814278989,0.545429689961754,0.015539927341938
14,7,"Best","Smooth",10,1.980764245745,0.49590488163793,0.0705947361453051
14,8,"Best","Smooth",10,0.881847318920967,9.66498638445714,0.294829989479312
15,1,"Cumulative","Rough",5,47.019443544219,6.65434127924972,0.0128868283289491
15,2,"Cumulative","Rough",5,52.8033070605017,43.7321098875969,0.0673140765070629
15,3,"Cumulative","Rough",5,33.063329263298,44.5845353467094,0.174788844768097
15,4,"Cumulative","Rough",5,54.199662043972,44.2811409044031,0.0644648669181521
15,5,"Cumulative","Rough",5,44.051310429704,44.5142927456845,0.0984874718049307
15,6,"Cumulative","Rough",5,47.462392540189,44.2753916665765,0.083904627550133
15,7,"Cumulative","Rough",5,4.10409581872217,34.1793102878268,0.0148069279129132
15,8,"Cumulative","Rough",5,9.66821702487872,45.318729809147,0.942958101769785
15,1,"Cumulative","Rough",10,12.858535246943,0.21782251224355,0.00673945468634561
15,2,"Cumulative","Rough",10,11.6061602111752,0.233544127150732,0.0067414011231733
15,3,"Cumulative","Rough",10,13.0727977399265,0.21754234242457,0.00673809207046713
15,4,"Cumulative","Rough",10,13.9074405440026,0.373719012006217,0.00674093901562027
15,5,"Cumulative","Rough",10,11.5097672034982,0.240917887850064,0.00673856138119055
15,6,"Cumulative","Rough",10,12.1677951395468,0.220828524747346,0.00686444449473866
15,7,"Cumulative","Rough",10,12.3231262351546,0.2237430175614,0.00674018411804426
15,8,"Cumulative","Rough",10,12.821195440486,0.256101024929501,0.0067379684873172
16,1,"Cumulative","Smooth",5,0.0310395072430204,2.726710347667,0.167017909557422
16,2,"Cumulative","Smooth",5,3.16721657814716,25.3935008699019,0.158662296620249
16,3,"Cumulative","Smooth",5,0.146854571324998,2.77432282620064,0.0577857253945066
16,4,"Cumulative","Smooth",5,0.265855651765892,3.78100381343585,0.0221794831634486
16,5,"Cumulative","Smooth",5,0.0606789601952286,41.806269759388,0.037214509186333
16,6,"Cumulative","Smooth",5,0.0111537790066888,2.39609699343086,0.0641731287318858
16,7,"Cumulative","Smooth",5,0.0408301877692848,6.31996381313155,0.00828788104854615
16,8,"Cumulative","Smooth",5,0.492825635404531,34.4075284766566,0.534097486082332
16,1,"Cumulative","Smooth",10,0.525012134634535,16.743656380746,0.674898519767814
16,2,"Cumulative","Smooth",10,0.269780130238151,1.68045005912114,0.019388931098021
16,3,"Cumulative","Smooth",10,1.5334195916633,1.72326878809779,0.0183564748119662
16,4,"Cumulative","Smooth",10,0.057868932897781,5.37012898051626,0.0342379087138995
16,5,"Cumulative","Smooth",10,1.19597184301083,2.33989155127426,0.0351515938692313
16,6,"Cumulative","Smooth",10,0.369184656594243,2.04660338861495,0.0186304142219655
16,7,"Cumulative","Smooth",10,0.0135912577032009,0.524874028664997,0.00697615953822275
16,8,"Cumulative","Smooth",10,0.0269528215881447,21.4924874307394,0.413281521886405
17,1,"Cumulative","Smooth",5,0.00708929164111818,2.48216318592177,0.00866700119286624
17,2,"Cumulative","Smooth",5,0.499653688295001,1.48625017474877,0.0143876972841864
17,3,"Cumulative","Smooth",5,0.247609228158701,5.3789969301602,0.255796955762051
17,4,"Cumulative","Smooth",5,2.22805557561064,2.35432262057762,0.00725426457696195
17,5,"Cumulative","Smooth",5,0.122177591987426,4.67034811532987,0.288778366265669
17,6,"Cumulative","Smooth",5,0.00851034235475089,26.1718667666554,0.0348480802129674
17,7,"Cumulative","Smooth",5,0.161625455897991,9.83317747034643,0.108793089115545
17,8,"Cumulative","Smooth",5,0.278363558801043,5.34912318481225,0.0227418071332514
17,1,"Cumulative","Smooth",10,0.0441153558670472,21.3185121862726,0.0106716170828709
17,2,"Cumulative","Smooth",10,0.325583036291053,12.7366331302883,0.0107434109115587
17,3,"Cumulative","Smooth",10,0.0180442047490283,17.9076048750877,0.0280432929737713
